,business_id,latitude,longitude,review_count,stars,is_open,pos_reviews
2,007Dg4ESDVacWcC4Vq704Q,43.603232,-79.5384244,9,4.0,0,7
3,rVBPQdeayMYht4Uv_FOLHg,43.6332914,-79.5317683,13,3.0,0,11
5,0QjROMVW9ACKjhSEfHqNCQ,43.6663763388,-79.3487726589,116,4.0,1,109
10,GtQPbazps0jt7_cJghfmsA,43.6709361,-79.3846434,42,2.5,1,26
11,8k62wYhDVq1-652YbJi5eg,43.6498592,-79.3820602,8,3.0,1,7
12,PYLv9n0y8MimzTK2zCBoFw,43.6647074,-79.4139395,4,3.0,1,1
14,0DnQh8SE8BSnvJltGCCiWg,43.765279,-79.326248,11,3.0,1,8
15,NLaK58WvlNQdUunSIkt-jA,43.6856078,-79.3139362,24,4.5,1,24
16,OIKp-6ObAd-yW-32U3c22Q,43.664926858,-79.4115530642,9,4.0,0,7
17,cicPsia8Wj-DNRkmLbD_xg,43.7058425,-79.3978408,100,3.5,1,79
18,0nqQIM2PvOcTX6v0L537_Q,43.6804133,-79.2902794,19,4.0,1,17
19,tdtU7pk3swBuGYBQgyLgTw,43.655927596,-79.4095277041,7,4.0,1,7
21,xVXyrTWbG8U3szze-aA7eg,43.6901440838,-79.571658481,35,2.0,1,14
24,YHE1PS0mhFbwKJm8iJpcuQ,43.6505326,-79.4152092,23,3.5,0,21
26,r3jpH6ZuCQY3o1yBuJ67PQ,43.6522510663,-79.3976421654,17,3.0,0,12
27,M0CBCEY1UFX0JCRzKZ9ujw,43.725989,-79.289429,10,3.5,1,8
30,TKKX9bllRBMzp0NYr441PQ,43.6576212,-79.4008849,51,4.0,1,50
33,d9A5lhFHOBvEw-BxSYnWOA,43.6637457,-79.4164519,4,4.0,0,4
34,Ntolf_VZiTOpVTjAyaMNnA,43.6420951,-79.3808507,5,4.0,1,5
35,yG2PdMFn6y3QDw4Uq4b5lg,43.761612,-79.4092208,78,3.0,0,63
37,u0syM4rt_zDpswP47g0pGQ,43.6418321,-79.4112632,11,3.5,0,10
38,37kk0IW6jL7ZlxZF6k2QBg,43.641948,-79.4065795,120,4.0,1,117
39,y1Er-SodAde9QZIcgFf45g,43.7343668,-79.4044224,8,2.0,0,2
40,0rMFhLzeq3Z2OaJ62MQXlw,43.6862465,-79.3935614,14,4.0,1,13
42,dfqLhdQY9e6EiXMk9t-8WQ,43.6665079966,-79.4978697455,3,4.5,1,3
44,rOyzxtWGekcMBc4aNinZjg,43.7003475,-79.4296338,14,3.0,1,8
46,VUADGMPLJoWqhHb1G4LIcA,43.6491656,-79.4224977,71,5.0,1,70
47,LRRhbtaohbXGMdaJ1yZjbQ,43.6463565,-79.3900436,38,4.0,1,35
51,oYCx5gO4KkkgYPnglSkk5g,43.6812824,-79.4287282,20,3.0,0,15
52,5JW08_RL9K60Ubo8-8lyVg,43.6587414936,-79.4228415599,73,4.0,1,70
54,540VQOuZIV1XoVNpdjXCwQ,43.7981050861,-79.3180795877,13,3.5,0,12
55,HAxeSAqr06j4EWFjiIbWEg,43.6674742,-79.3849634,14,3.0,1,9
56,zy_NHTqtfSrfTGGPoqy4Mw,43.6442149,-79.4480908,25,3.0,1,19
57,Nxg73OigmRQQq0d1pKtkUQ,43.6517002,-79.3979873,186,3.0,1,138
58,tN8UltYOJDKGlYO-T6XY2g,43.6700082,-79.3928465,69,3.5,1,52
59,IjYGSm4_DjP6VULpP27o_g,43.6609607094,-79.3411559715,10,4.0,1,8
61,FXEGHWjflYKe5Ipro5Qd7Q,43.658881,-79.4428984,13,4.5,0,13
62,bHy8ijMksWhHRMcbxGnYyQ,43.7869274,-79.2740715,3,3.5,0,2
70,zenJd3O02n5RCGqu8CCZnA,43.6667449,-79.4040508,4,3.0,1,1
73,8XVAcOZ02IGTQE-pvKhXXw,43.6418685,-79.4288069,88,4.5,1,87
74,sfcmewwXftvjxRn_Xfpz-w,43.6436378,-79.3910816,16,2.0,1,7
76,K5Q2vkF5UpytV9Q1rB-5Yg,43.6452974,-79.3923967,125,4.0,1,116
77,lCwUmc0IEhIMz7lyZ2nwuA,43.6391167,-79.398135,7,4.0,1,6
78,59roFbMHNSt6H3UbOO2HmA,43.7516334,-79.3643317,3,5.0,1,3
80,tqumNKvNmeII_DRG6SdRuw,43.653043,-79.6005931,17,4.5,1,15
81,Pdnh437o_59l0QZsxvQqLQ,43.7105539,-79.3987739,17,3.5,0,14
82,ULl0tYsqcHe3S-TqKD3mjw,43.6583044,-79.442519,31,3.5,0,27
83,ztzjD1Zs5tfMZTYKXkmL9Q,43.7783035425,-79.414961189,17,4.0,1,17
84,DftK-qzebIR829HozNYfgQ,43.6590524,-79.3493884,5,4.0,0,4
88,XmZX5wwhmL6Cfz0vBs0lxQ,43.6627752,-79.4039682,18,3.5,0,17
91,_MA98TVmvVIy-XdI0poc7w,43.6647061,-79.4138356,88,3.0,0,68
92,nY2oBwH3s5sKox1mERIoVQ,43.6477412,-79.4012788,85,3.5,0,79
94,Z6K0GSinlbLUD-XCEbv23A,43.6884003,-79.4123706,10,3.0,1,7
97,v9A6FJDPr7C2JK9VoRtrhQ,43.6374418,-79.4705573,4,4.0,1,4
99,zVouLhxVC42Cc0ogxmlGGA,43.6408517,-79.4358307,5,3.5,1,4
101,MTneG8wJrUxIzIfnHe_P-A,43.6573337,-79.4873715,5,5.0,1,5
103,R_nykJJfrfcfeF4Pof34nA,43.6496871,-79.4303087,12,3.5,0,11
105,0a1BBSewiusfCalA9UVEYA,43.646449,-79.4071412,6,4.0,0,6
108,pvo-RRtvw1zBAHRzr8669w,43.807745179,-79.2895870283,13,3.0,0,8
109,IN8BHY7zkhjUxUh4qnbrHg,43.7083419,-79.4530944,23,3.0,0,18
111,aywCwIczds0RosdzqokZ8g,43.7379498,-79.4346761,12,4.0,1,11
112,uNJfcua4yVuU_EBWED3Mkw,43.65496,-79.433873,36,3.0,1,24
115,Lij0OcvPD4LAnmklHQpDCg,43.7742392,-79.5014316,5,2.0,1,3
117,gc2XZigymAwwNkjihdkO5w,43.5973433,-79.5217241,19,4.5,1,19
118,sHobmDWiTSsRvcE7H4KkgA,43.7066823567,-79.3894361,31,3.5,0,26
120,EwlA5wluJw5zzXxtA42brQ,43.6800369,-79.3905192,5,4.0,1,5
123,yv4Ov5b21VI_-52BNRLolA,43.7137919,-79.5592962,3,3.0,1,1
124,NX88XnZQOVbaSVj1exilLA,43.6662194,-79.3852539,3,2.0,1,1
129,OtAVXleSatkQeZn9Twg4Aw,43.6463119315,-79.391329296,69,4.5,1,69
130,Ct3EA87rf_liNzwzbmNUgw,43.6526355,-79.3983795,4,4.5,1,4
131,4KHo1LnkM69RtWTDBdG16g,43.7903766,-79.365383,51,3.0,0,40
133,AOhJfJVuEPUh_in7WHDnzQ,43.6889196,-79.3945875,3,1.5,1,0
